cp_id,prodotto_clanpesca,marca,categoria,prezzo_clanpesca_eur,sito_concorrente,livello_match,prezzo_concorrente_eur,disponibilita,delta_pct,url,data_rilevazione
25418,Canna Tubertini Ionic 2 TLS,tubertini,Mare,139.00,mondo-pesca.it (ora escaepescashop.it),esatto,115.00,disponibile,+20.9,https://escaepescashop.it/prodotto/canna-tubertini-ionic-2-tls/,2026-08-05
25418,Canna Tubertini Ionic 2 TLS,tubertini,Mare,139.00,pescamia.eu,esatto,122.00,esaurito,+13.9,https://www.pescamia.eu/product-page/tubertini-ionic-2-tls-4-25-metri-100-gr-canna-surfcasting,2026-08-05
25430,Canna Tubertini Sylan,tubertini,Mare,85.00,mondo-pesca.it (ora escaepescashop.it),famiglia,77.00,disponibile,+10.4,https://escaepescashop.it/prodotto/tubertini-sylan-2/,2026-08-05
14367,Mulinello Tubertini Hylas FD,tubertini,Frizione anteriore,189.00,pescapromo.it,famiglia,146.95,disponibile,+28.6,https://pescapromo.it/t/mulinelli/mulinelli-da-spinning-tubertini-ryobi-hylas-fd,2026-08-05
13877,Tubertini Borsa Titan,tubertini,Borse,69.00,mondo-pesca.it (ora escaepescashop.it),famiglia,62.00,esaurito,+11.3,https://escaepescashop.it/prodotto/tubertini-borsa-titan/,2026-08-05
14672,Tubertini Bos Fluorocarbon 50 MT,tubertini,Fili Fluorocarbon,7.90,pescamia.eu,esatto,8.90,esaurito,-11.2,https://www.pescamia.eu/product-page/tubertini-bos-fluorocarbon-bobina-50-mt,2026-08-05
21676,Tubertini Crossover 2 Mt 2.20 Lb 6-12,tubertini,Mare,139.00,webpesca.it,probabile,97.50,disponibile,+42.6,https://www.webpesca.it/shop/canna-tubertini-crossover-2-2-20-mt-6-12-lbs/,2026-08-05
13434,Tubertini Enduro Bag,tubertini,Borse,45.00,mondo-pesca.it (ora escaepescashop.it),famiglia,42.00,esaurito,+7.1,https://escaepescashop.it/prodotto/tubertini-borsa-enduro-bag/,2026-08-05
13860,Tubertini Express Feeder,tubertini,Ledgering - Feeder - Inglese,69.00,mondo-pesca.it (ora escaepescashop.it),famiglia,58.00,disponibile,+19.0,https://escaepescashop.it/prodotto/tubertini-express-feeder/,2026-08-05
13860,Tubertini Express Feeder,tubertini,Ledgering - Feeder - Inglese,69.00,webpesca.it,famiglia,54.94,esaurito,+25.6,https://www.webpesca.it/shop/canna-feeder-tubertini-express-feeder-2-70-mt-40-gr/,2026-08-05
13891,Tubertini Fatality,tubertini,Siluro,135.00,mondo-pesca.it (ora escaepescashop.it),famiglia,135.00,esaurito,+0.0,https://escaepescashop.it/prodotto/canna-traina-tubertini-fatality/,2026-08-05
13445,Tubertini Fodero Cesena,tubertini,Mare,39.00,mondo-pesca.it (ora escaepescashop.it),famiglia,35.00,disponibile,+11.4,https://escaepescashop.it/prodotto/tubertini-fodero-cesena-150/,2026-08-05
13442,Tubertini Fodero Forlì,tubertini,Mare,36.60,mondo-pesca.it (ora escaepescashop.it),famiglia,32.00,disponibile,+14.4,https://escaepescashop.it/prodotto/tubertini-fodero-forli-1t/,2026-08-05
25105,Tubertini Fodero Jocker 1,tubertini,Luccio,58.50,megafish.it,esatto,55.45,disponibile,+5.5,https://www.megafish.it/foderi-portacanne-pesca/6158-tubertini-fodero-jocker-1.html,2026-08-05
20092,Tubertini Kaliber Surf,tubertini,Mare,89.00,megafish.it,famiglia,75.65,disponibile,+17.6,https://www.megafish.it/canne-surfcasting/6284-tubertini-kaliber-surf-420-mt.html,2026-08-05
20092,Tubertini Kaliber Surf,tubertini,Mare,89.00,mondo-pesca.it (ora escaepescashop.it),famiglia,74.00,esaurito,+20.3,https://escaepescashop.it/prodotto/tubertini-surfcasting-kaliber-surf/,2026-08-05
20092,Tubertini Kaliber Surf,tubertini,Mare,89.00,pescamia.eu,famiglia,79.90,esaurito,+11.4,https://www.pescamia.eu/product-page/tubertini-kaliber-surf-canna-telescopica-surfcasting,2026-08-05
13886,Tubertini Level Chrome,tubertini,Bolognese,155.00,mondo-pesca.it (ora escaepescashop.it),famiglia,105.00,disponibile,+47.6,https://escaepescashop.it/prodotto/bolognese-tubertini-level-chrome/,2026-08-05
13886,Tubertini Level Chrome,tubertini,Bolognese,155.00,pescamia.eu,famiglia,104.00,esaurito,+49.0,https://www.pescamia.eu/product-page/tubertini-level-chrome-canna-bolognese,2026-08-05
25387,Tubertini Maggi Box,tubertini,Mare,3.90,megafish.it,famiglia,6.06,disponibile,-35.6,https://www.megafish.it/valigette-e-contenitori/2957-tubertini-maggi-box-2-lt.html,2026-08-05
17256,Tubertini Mulinello Artis,tubertini,Mare,79.00,pescamia.eu,famiglia,69.00,esaurito,+14.5,https://www.pescamia.eu/product-page/tubertini-mulinelli-artis-usati,2026-08-05
17239,Tubertini Mulinello Chrome,tubertini,Mare,105.00,mondo-pesca.it (ora escaepescashop.it),famiglia,105.00,disponibile,+0.0,https://escaepescashop.it/prodotto/bolognese-tubertini-level-chrome/,2026-08-05
17239,Tubertini Mulinello Chrome,tubertini,Mare,105.00,pescamia.eu,famiglia,104.00,esaurito,+1.0,https://www.pescamia.eu/product-page/tubertini-level-chrome-canna-bolognese,2026-08-05
