id,marca,nome,categoria,tipo,n_varianti,prezzo_da,prezzo_a,url
29887,tamura,Totanare Yashino Lethal Weapon #2.5 MF8001N,Mare,grouped,23,2.50,2.50,https://clanpesca.com/prodotto/totanare-yashino-lethal-weapon-3-0-mf8001n/
29942,tamura,Totanare Yashino Lethal Weapon #3.0 MF8001N,Mare,grouped,23,2.50,2.50,https://clanpesca.com/prodotto/totanare-yashino-lethal-weapon-3-0-mf8001n-2/
29994,tamura,Totanare Yashino Lethal Weapon #3.5 MF8001N,Mare,grouped,23,2.50,2.50,https://clanpesca.com/prodotto/totanare-yashino-lethal-weapon-3-5-mf8001n/
23774,tamura,Yashino Lethal Weapon #2.5,Mare,grouped,11,2.50,2.50,https://clanpesca.com/prodotto/yashino-lethal-weapon-2-5/
23792,tamura,Yashino Lethal Weapon #3.0,Mare,grouped,11,2.50,2.50,https://clanpesca.com/prodotto/yashino-lethal-weapon-3-0/
23827,tamura,Yashino Lethal Weapon N #2.5,Mare,grouped,0,2.50,2.50,https://clanpesca.com/prodotto/yashino-lethal-weapon-n-2-5/
23877,tamura,Yashino Lethal Weapon N #3.0,Mare,grouped,18,2.50,2.50,https://clanpesca.com/prodotto/yashino-lethal-weapon-n-3-0/
23925,tamura,Yashino Lethal Weapon N #3.5,Mare,grouped,22,2.50,2.50,https://clanpesca.com/prodotto/yashino-lethal-weapon-n-3-5/
24026,tamura,Yashino Lumi 1.0 mm 40,Mare,grouped,7,2.50,2.50,https://clanpesca.com/prodotto/yashino-lumi-1-0-mm-40/
24034,tamura,Yashino Lumi 1.5 mm 50,Mare,grouped,7,2.50,2.50,https://clanpesca.com/prodotto/yashino-lumi-1-5-mm-50/
24042,tamura,Yashino Lumi 2.0 mm 60,Mare,grouped,7,2.50,2.50,https://clanpesca.com/prodotto/yashino-lumi-2-0-mm-60/
24052,tamura,Yashino Lumi 2.5 mm 75,Mare,grouped,7,2.50,2.50,https://clanpesca.com/prodotto/yashino-lumi-2-5-mm-75-2/
24061,tamura,Yashino Lumi 3.0 mm 95,Mare,grouped,7,2.50,2.50,https://clanpesca.com/prodotto/yashino-lumi-3-0-mm-95/
24070,tamura,Yashino Lumi 3.5 mm 110,Mare,grouped,7,2.50,2.50,https://clanpesca.com/prodotto/yashino-lumi-3-5-mm-110/
24080,tamura,Yashino Lumi 4.0 mm 120,Mare,grouped,7,2.50,2.50,https://clanpesca.com/prodotto/yashino-lumi-4-0-mm-120/
13545,teben,Mulinello Teben CBS Alu Body 9+1 BB,Frizione anteriore,grouped,3,69.00,69.00,https://clanpesca.com/prodotto/teben-mulinello-cbs-alu-body-91bb/
13590,teben,Teben Bait Casting TBC10,Casting,simple,0,89.00,89.00,https://clanpesca.com/prodotto/teben-bait-casting-tbc10/
22251,teben,Teben Mulinello ABS 9+1 BB,Mare,grouped,4,85.00,92.00,https://clanpesca.com/prodotto/teben-mulinello-abs-91-bb/
21806,teben,Teben Mulinello Aquarius Bait Control 4000,Offerte,simple,0,55.00,55.00,https://clanpesca.com/prodotto/teben-mulinello-aquarius-bait-control-4000/
22257,teben,Teben Mulinello BBS 8+1,Mare,grouped,4,39.00,39.00,https://clanpesca.com/prodotto/teben-mulinello-bbs-81/
21818,teben,Teben Mulinello Challenger Pro 8+1,Mulinelli Spinning,grouped,5,29.00,29.00,https://clanpesca.com/prodotto/teben-mulinello-challenger-pro-81/
22278,teben,Teben Mulinello GTS 7+1,Mare,grouped,4,30.00,30.00,https://clanpesca.com/prodotto/teben-mulinello-gts-71/
21799,teben,Teben Mulinello GTS Metal Version,Mulinelli,grouped,3,110.00,120.00,https://clanpesca.com/prodotto/teben-mulinello-gts-metal-version/
22290,teben,Teben Mulinello LV 3+1,Mare,grouped,5,25.00,25.00,https://clanpesca.com/prodotto/teben-mulinello-lv-31/
22390,teben,Teben Mulinello Serie T,Mare,grouped,5,42.00,49.00,https://clanpesca.com/prodotto/teben-mulinello-serie-t/
22119,teben,Teben Mulinello Vic,Mulinelli,grouped,2,49.00,55.00,https://clanpesca.com/prodotto/teben-mulinello-vic/
14297,trabucco,Trabucco Pasturatore SP Flatbed Pellet Feeder Elasticated,Pasturatori,grouped,2,2.50,2.50,https://clanpesca.com/prodotto/trabucco-pasturatore-sp-flatbed-pellet-feeder-elasticated/
14300,trabucco,Trabucco Pasturatore SP Flatbet Pellet Feeder In Line,Pasturatori,grouped,2,1.99,2.50,https://clanpesca.com/prodotto/trabucco-pasturatore-sp-flatbet-pellet-feeder-in-line/
13943,trabucco,Trabucco Trecciato Dyna TEX SLK X8 150 MT,Fili Trecciati,grouped,2,29.90,29.90,https://clanpesca.com/prodotto/trabucco-trecciato-dyna-tex-slk-x8-150-mt/
13985,tris,Fascia Elastica per Grembiule,Gilet & Grembiuli,simple,0,16.50,16.50,https://clanpesca.com/prodotto/fascia-elastica-per-grembiule/
13402,tris,Tris Evolution Bombarda Affondamento 1,Bombarde,grouped,7,2.90,2.90,https://clanpesca.com/prodotto/tris-evolution-bombarda-affondamento-1/
13410,tris,Tris Evolution Bombarda Affondamento 2,Bombarde,grouped,7,2.90,2.90,https://clanpesca.com/prodotto/tris-evolution-bombarda-affondamento-2/
13411,tris,Tris Evolution Bombarda Affondamento 3,Bombarde,grouped,7,2.90,2.90,https://clanpesca.com/prodotto/tris-evolution-bombarda-affondamento-3/
13425,tris,Tris Evolution Bombarda Affondamento 4,Bombarde,grouped,6,2.90,2.90,https://clanpesca.com/prodotto/tris-evolution-bombarda-affondamento-4/
13426,tris,Tris Evolution Bombarda Affondamento 8,Bombarde,grouped,5,2.90,2.90,https://clanpesca.com/prodotto/tris-evolution-bombarda-affondamento-8/
14321,tris,Tris TLT Hook con Fluorocarbon Cm 250,Ami Legati,grouped,13,4.95,4.95,https://clanpesca.com/prodotto/tris-tlt-hook-con-fluorocarbon-cm-250/
14339,tris,Tris TLT Hook con Nylon Cm 200,Ami legati,grouped,12,3.95,3.95,https://clanpesca.com/prodotto/tris-tlt-hook-con-nylon-cm-200/
14346,tris,Tris TLT Hook Senza ardiglione con Nylon Cm 200,Ami legati,grouped,5,4.50,4.50,https://clanpesca.com/prodotto/tris-tlt-hook-senza-ardiglione-con-nylon-cm-200/
25372,tubertini,Borsa Tubertini Offshore 550,Mare,simple,0,59.90,59.90,https://clanpesca.com/prodotto/borsa-tubertini-offshore-550/
